,movie_id,language_id
3518,2297,6
3519,2297,39
3520,2298,30
3521,2299,30
3522,2299,34
3523,2300,30
3524,2301,30
3525,2302,30
3526,2303,49
3527,2303,30
3528,2304,30
3529,2304,91
3530,2305,30
3531,2306,30
3532,2307,30
3533,2308,55
3534,2308,30
3535,2309,30
3536,2310,38
3537,2310,50
3538,2310,30
3539,2311,30
3540,2312,30
3541,2312,38
3542,2313,30
3543,2314,96
3544,2315,34
3545,2315,30
3546,2316,83
3547,2316,38
3548,2316,30
3549,2317,30
3550,2318,30
3551,2318,91
3552,2319,30
3553,2320,30
3554,2321,30
3555,2322,38
3556,2323,30
3557,2324,30
3558,2325,49
3559,2325,30
3560,2326,91
3561,2326,30
3562,2327,91
3563,2327,92
3564,2327,34
3565,2327,30
3566,2328,30
3567,2329,30
3568,2330,30
3569,2331,30
3570,2332,30
3571,2333,38
3572,2334,30
3573,2335,30
3574,2335,50
3575,2336,28
3576,2336,38
3577,2336,30
3578,2337,30
3579,2337,34
3580,2338,34
3581,2338,30
3582,2339,30
3583,2340,30
3584,2341,30
3585,2342,30
3586,2343,30
3587,2344,50
3588,2344,30
3589,2345,8
3590,2345,30
3591,2346,30
3592,2347,30
3593,2348,30
3594,2349,30
3595,2350,34
3596,2350,55
3597,2350,30
3598,2351,30
3599,2352,18
3600,2352,30
3601,2353,18
3602,2353,30
3603,2354,30
3604,2355,30
3605,2356,30
3606,2357,30
3607,2358,30
3608,2359,38
3609,2359,30
3610,2360,30
3611,2361,30
3612,2362,30
3613,2363,30
3614,2364,18
3615,2364,30
3616,2365,34
3617,2366,91
3618,2367,30
3619,2368,30
3620,2369,83
3621,2369,34
3622,2369,30
3623,2370,30
3624,2371,30
3625,2371,91
3626,2372,30
3627,2373,30
3628,2374,55
3629,2374,83
3630,2374,30
3631,2374,91
3632,2374,73
3633,2375,30
3634,2376,30
3635,2377,30
3636,2377,85
3637,2377,97
3638,2377,34
3639,2377,93
3640,2378,30
3641,2379,30
3642,2380,61
3643,2381,55
3644,2381,93
3645,2381,30
3646,2381,38
3647,2382,30
3648,2383,30
3649,2384,30
3650,2384,83
3651,2385,30
3652,2385,8
3653,2386,91
3654,2386,30
3655,2386,34
3656,2387,30
3657,2388,30
3658,2389,30
3659,2390,30
3660,2390,68
3661,2391,30
3662,2392,30
3663,2392,68
3664,2393,30
3665,2394,30
3666,2395,30
3667,2396,30
3668,2397,30
3669,2398,30
3670,2398,34
3671,2399,30
3672,2400,30
3673,2401,30
3674,2401,34
3675,2402,30
3676,2403,30
3677,2404,30
3678,2404,49
3679,2405,83
3680,2405,38
3681,2405,34
3682,2405,30
3683,2406,30
3684,2407,30
3685,2408,30
3686,2409,30
3687,2410,30
3688,2411,30
3689,2411,47
3690,2412,30
3691,2413,30
3692,2414,30
3693,2415,30
3694,2416,30
3695,2416,91
3696,2416,78
3697,2416,55
3698,2416,34
3699,2417,50
3700,2417,30
3701,2418,34
3702,2418,30
3703,2418,49
3704,2419,30
3705,2420,30
3706,2421,30
3707,2422,30
3708,2423,38
3709,2423,30
